Date_time,FGO TK1551 Level Ctr PV - mm,FGO TK1552 Level Ctr PV - mm,FGO TK1553 Level Ctr PV - mm,FGO TK1554 Level Ctr PV - mm,FGO TK1555 Level Ctr SP - mm,TK1551 Air Blower Flow Loop PV - m3/h,TK1552 Air Blower Flow Loop PV - m3/h,TK1553 Air Blower Flow Loop PV - m3/h,TK1554 Air Blower Flow Loop PV - m3/h,TK1555 Air Blower Flow Loop PV - m3/h,FGO Mass Pull % PV - %,pH Indication for FGO - PV -  pH,FGO FLTS FD TNK DNSTY CONTROL MEAS -  %(PS),Collector Added To TK1550 PV -  m3/h,FGO FLTS FD TNK WTR FLW CONTROL MEAS -  m3/hr,PAX Flow to TK1552/3 Controller PV -  L/H,FLOW Collector to FGO TK1550 PV -  L/Hr,FROTHER  Flow 1 to TK1551/2 Controller PV -  L/H,FROTHER  Flow 2 to TK1551/2 Controller PV -  L/H,FROTHER  Flow to TK1551 Controller PV -  L/H,PROMOTER  Flow Rate- PV -  G/T,FGO CYCLONE Feed Density (%) - %,FGO Cyclone Overflow Density (%) - %,FGO CYCLONE O/F Sizing Control PV - % -150,[OV] FGO Cyclone Overflow Density Control PV - %,FGO Conc Flow Controller PV -  m3/hr,FGO Tails Flow Controller PV -  m3/hr,FLOTATION CONCENTRATE DENSITY -  %,FGO Flotation Rougher Tails Density  -  kg/m3,GT #1 bed level control PV - %,GT #2 bed level control PV - %,FLOW - m3/h,FLOW Collector to FGO Cyclone Under Flow - L/Hr,FIT5380 FGO Additional Feed To HGO Flots Flow - m3/h,Rougher to Float Flow Ctrl PV - m3/h,FLOATS R_Feed Density - kg/m3,Rougher to Flotation Feed Density  - %,Grinding Thickener 2 underflow  flow.CTRL PV - m3/h,Grinding Thickener 1 underflow  flow.CTRL PV - m3/h,TOTAL GT1 slurry feed GT1 TANK - T/H,TOTAL GT1 flow rate FEED TANK - m3/H,TOTAL GT2 slurry feed GT2 TANK - T/H,TOTAL GT2 flow rate FEED TANK - m3/H,TK2008 GT FEED MIX TANK LEVEL - %,TK2011 GT FEED MIX TANK LEVEL - %,[OV] FGO Sag Mill Feed Ctrl PV - t/h,[OV] FGO Sag Mill Motor Power - kW,[OV] FGO BM Motor Power - kW,[OV] FGO SM Feed Dilution Flow  PV - m3/h
26/10/2018,303.3042297,302.5260315,262.6551567,303.195282,308.7518005,6.60024017,-5.15625,0.6640625,0.275006597,0.448720968,0.015035271,7.698670964,0.087453932,494.3906555,44.8108232,0.164027171,5.009765625,0.011718748,0.438787729,4.308723769,0.022809727,2.257684184,41.92209596,80.72366094,0.311865696,613.9334422,289.9332369,-0.001373333,1157.86571,21.70072489,31.26095773,6.442596835,0.45703125,0.279861974,138.6723888,1000.338135,0.239086242,938.7687637,513.0121325,465.2849812,101.9485484,928.3758159,1040.721073,74.44288356,77.80395569,0.892666399,5.001443947,-22.32659983,0.136790633
27/10/2018,303.3042297,302.5260315,283.5941084,303.195282,308.7518005,7.689026853,-5.15625,0.6640625,0.649280621,1.030924526,0.015035271,7.11022406,12.77236646,494.3906555,42.59971057,0.143823578,5.009765625,0.011718748,0.438787729,4.236874559,0.022809727,36.41286464,34.36085025,90.2870293,11.75337939,613.5066802,50.46665977,-0.001373333,1009.841026,22.35191137,31.27841987,4.23679974,0.45703125,0.265078335,0.541947971,1000.338135,12.82576241,1081.214847,588.7934124,435.7359485,-17.35466749,1055.551561,1063.907944,74.84678187,80.20358208,127.1014297,1677.285968,-22.76876966,68.67175518
28/10/2018,303.3177688,301.1391507,296.1566005,302.7975862,308.6727437,12.83093805,-0.596563057,5.337139473,2.998328539,5.25991517,0.075816925,7.281309889,0.911730225,494.3906555,130.3766185,0.140625,6.78905106,0.011718748,0.439835879,2.124137281,0.009140788,3.015654803,34.78370602,89.45243761,0.803729555,732.0546547,42.20915355,0.019069888,1010.399493,16.98465276,31.34262061,9.484442467,6.173121568,6.270699823,33.59872164,1000.509751,0.999427465,1156.363504,525.4163383,338.2277634,-203.1428241,1043.652554,865.6967744,75.83827116,79.37759346,7.338492644,113.8210205,21.29013474,5.511553275
29/10/2018,137.8853273,288.1001364,154.0400909,207.4161701,240.4932737,583.5691256,326.1102901,534.0846473,58.03770056,507.4128326,32.30504396,6.890248625,27.92323792,494.3906555,98.60949855,15.15097938,86.39246943,0.011718748,6.378860106,2.740413841,0,59.3060256,42.45548956,80.69817322,36.54722045,383.5323876,549.1837881,32.19606089,1270.833948,8.729029756,35.46720034,5.11578362,218.8569309,171.0554853,1084.687322,1188.675627,27.85948876,1102.214948,478.5739013,366.7234505,-301.0797907,1067.890428,759.0484886,77.17597099,78.83008156,718.4294678,3439.159851,3840.490276,176.5767747
30/10/2018,244.5369209,296.5398719,155.3842653,286.2362574,255.1812105,627.1751681,447.336799,636.9572251,578.1967397,506.2115337,11.2388863,6.819869224,37.83713378,494.3906555,76.24041295,5.881269977,27.86636443,0.011718748,2.515797343,1.432152815,0.008816633,60.19683224,43.95673527,75.65700236,39.77966244,490.8331255,213.5175859,10.42328726,1090.53816,0.690634158,36.08564359,7.083420029,77.36943807,50.22733503,356.6060269,1053.471757,37.5424143,1463.906651,496.2515302,83.57810461,-643.7477414,1284.596667,815.1235036,73.1987505,81.08293413,825.2927489,3211.395866,3783.249147,195.791858
31/10/2018,265.3998765,302.8858837,173.7670651,281.5524143,246.7833509,633.6686551,443.5884993,619.7381305,562.0272464,480.0652017,8.703390373,7.191200403,0.0255554,494.3906555,,3.617175893,7.415429505,0.011718752,2.165737852,1.314805801,0.001137844,11.4528478,36.78236223,96.00591278,0.083090368,338.3584927,123.6999072,5.152676584,1058.187858,49.70191915,22.8857147,17.08447348,30.74030149,3.664246693,166.2547027,1026.941971,5.644504536,1161.158891,598.1126124,397.8210108,-202.7128642,1083.411222,963.3102391,73.01422827,78.67003618,156.6281073,588.6148846,706.8378984,36.0988723
1/11/2018,300.377744,301.3227147,254.1422218,303.4284447,306.3881301,549.5109567,476.5469241,523.0709823,479.1662445,442.3984726,0.314174278,7.215499326,0.118830819,494.3906555,50.1380491,0.163295052,2.578995804,0.011718752,0.501956552,1.559015428,0,1.36609706,11.87598449,77.81272669,0.158109841,483.0110148,8.584288032,0.550730278,1004.154565,29.13464427,37.76079639,18.26864109,6.092055218,-0.023912642,18.65150063,1000.086109,0.189296285,727.0062661,611.6309567,204.7880019,559.6058911,654.6084228,1286.635648,75.53708466,80.55376297,5.08268809,28.48728085,84.58644024,1.471018082
2/11/2018,169.2733586,296.4453742,236.10636,303.4993248,243.6575446,623.871087,369.7518329,566.2662281,318.7594774,520.3814943,26.1921881,6.90680409,18.23616132,494.3906555,263.4037851,12.08878119,56.15105888,0.011718752,6.541214284,1.950463176,0,41.00537669,44.41966426,84.24992801,26.90330353,366.0508392,533.5113702,21.01153925,1195.44905,13.38746748,21.38179681,22.59451868,162.3948157,198.142395,972.123982,1122.080448,18.26694535,1077.154554,874.5810963,562.4820485,211.0157563,955.0460508,1265.383935,76.91913193,81.10337125,553.0596534,2323.953088,2547.601996,130.8213178
3/11/2018,230.3603238,290.1683027,270.1472079,303.5514323,270.0506378,626.6754673,506.3366537,595.568663,432.3596463,554.441233,12.76972334,7.197332826,9.149127447,494.3906555,199.0189796,3.10632501,26.85376787,3.279475343,5.284325616,2.166107045,0.676681224,23.1549818,46.41168245,76.99712143,13.14275855,212.9486059,602.6711368,10.4202986,1089.16576,17.82641502,18.02320646,7.220513148,99.70378005,104.5619665,492.991976,1063.978843,10.14858619,1044.552035,714.2962419,512.617587,387.2054968,1010.867457,1420.360702,77.43172929,80.22819889,289.1183459,1158.322271,1291.079687,72.66027705
4/11/2018,91.4501441,255.279387,206.1492851,207.5775093,210.6118045,782.193168,571.7891679,673.9627163,700.6233543,652.6875636,36.42846308,7.441673653,24.02043562,494.3906555,215.0643315,16.09852156,115.4997276,0.608065963,16.11334154,3.883198964,0.442017108,61.00522206,42.11770603,80.30450899,34.70759317,577.454847,601.0842063,24.12966944,1303.047762,23.81272514,9.179521908,3.305131188,259.6819682,304.2786631,1400.619328,1182.388015,24.02801774,1335.000797,828.8883477,580.1163258,575.151331,1102.148275,1875.527411,80.28726436,86.50372407,822.1046215,3269.97413,3622.851528,187.20209
